step      t          T         xB         xC         yC         xG         yG       F_xB       F_xC       F_yC      E_pot      E_cin      E_tot
  78 0.0390 109.79827692 1.34734868 0.63907700 1.17990317 0.66214189 0.39330106 -20.11998286 10.75020252 -24.79449578 0.56814759 0.32728738 0.89543497
  79 0.0395 99.41215633 1.34656539 0.63713339 1.18091304 0.66123293 0.39363768 -20.10938988 11.22571800 -25.52687585 0.59915757 0.29632837 0.89548594
  80 0.0400 91.96068758 1.34560714 0.63528744 1.18170083 0.66029819 0.39390028 -19.89015502 11.63842472 -26.01272297 0.62139698 0.27411698 0.89551396
  81 0.0405 87.59355299 1.34447585 0.63354275 1.18226229 0.65933953 0.39408743 -19.46174423 11.98714523 -26.24814831 0.63441868 0.26109940 0.89551808
  82 0.0410 86.33271265 1.34317523 0.63190235 1.18259539 0.65835919 0.39419846 -18.82578261 12.27134858 -26.23175208 0.63815722 0.25734108 0.89549830
  83 0.0415 88.07244118 1.34171081 0.63036872 1.18270026 0.65735985 0.39423342 -17.98604761 12.49115363 -25.96464179 0.63292870 0.26252687 0.89545558
  84 0.0420 92.58449043 1.34008992 0.62894377 1.18257923 0.65634456 0.39419308 -16.94843763 12.64732131 -25.45042398 0.61941538 0.27597642 0.89539180
  85 0.0425 99.52817663 1.33832156 0.62762885 1.18223677 0.65531680 0.39407892 -15.72091645 12.74123602 -24.69516944 0.59863549 0.29667420 0.89530969
  86 0.0430 108.46498899 1.33641643 0.62642479 1.18167945 0.65428041 0.39389315 -14.31343418 12.77487671 -23.70735204 0.57189963 0.32331311 0.89521274
  87 0.0435 118.87713171 1.33438676 0.62533187 1.18091587 0.65323954 0.39363862 -12.73782603 12.75077829 -22.49776200 0.54075532 0.35434969 0.89510500
  88 0.0440 130.18925026 1.33224628 0.62434989 1.17995656 0.65219872 0.39331885 -11.00769013 12.67198438 -21.07939433 0.50692207 0.38806892 0.89499099
  89 0.0445 141.79246295 1.33001002 0.62347816 1.17881384 0.65116272 0.39293795 -9.13824621 12.54199253 -19.46731387 0.47221960 0.42265585 0.89487545
  90 0.0450 153.06972501 1.32769425 0.62271555 1.17750175 0.65013660 0.39250058 -7.14617701 12.36469334 -17.67849828 0.43849201 0.45627118 0.89476319
  91 0.0455 163.42149928 1.32531631 0.62206051 1.17603586 0.64912561 0.39201195 -5.04945460 12.14430475 -15.73166093 0.40753108 0.48712781 0.89465889
  92 0.0460 172.29069682 1.32289444 0.62151114 1.17443309 0.64813519 0.39147770 -2.86715393 11.88530333 -13.64705563 0.38100173 0.51356517 0.89456690
  93 0.0465 179.18588212 1.32044762 0.62106517 1.17271158 0.64717093 0.39090386 -0.61925595 11.59235387 -11.44626541 0.36037267 0.53411838 0.89449105
  94 0.0470 183.70181064 1.31799542 0.62072006 1.17089050 0.64623849 0.39029683 1.67355701 11.27023909 -9.15197787 0.34685507 0.54757949 0.89443456
  95 0.0475 185.53647667 1.31555778 0.62047301 1.16898978 0.64534359 0.38966326 3.99011134 10.92379088 -6.78774960 0.34135155 0.55304827 0.89439982
  96 0.0480 184.50399279 1.31315485 0.62032099 1.16703001 0.64449195 0.38901000 6.30895481 10.55782441 -4.37776229 0.34441774 0.54997064 0.89438837
  97 0.0485 180.54279187 1.31080681 0.62026083 1.16503215 0.64368921 0.38834405 8.60856978 10.17707665 -1.94657336 0.35623775 0.53816306 0.89440082
  98 0.0490 173.71883209 1.30853367 0.62028922 1.16301736 0.64294096 0.38767245 10.86758414 9.78615007 0.48113617 0.37661463 0.51782216 0.89443679
  99 0.0495 164.22368575 1.30635508 0.62040275 1.16100675 0.64225261 0.38700225 13.06497804 9.38946254 2.88081389 0.40497602 0.48951897 0.89449499
 100 0.0500 152.36759659 1.30429016 0.62059797 1.15902120 0.64162938 0.38634040 15.18028424 8.99120418 5.22828541 0.44039495 0.45417827 0.89457322
 101 0.0505 138.56778924 1.30235732 0.62087142 1.15708115 0.64107625 0.38569372 17.19378011 8.59530120 7.49999852 0.48162478 0.41304372 0.89466849
 102 0.0510 123.33250009 1.30057406 0.62121965 1.15520634 0.64059790 0.38506878 19.08666972 8.20538721 9.67325938 0.52714685 0.36763027 0.89477713
 103 0.0515 107.24136482 1.29895687 0.62163927 1.15341570 0.64019871 0.38447190 20.84125453 7.82478154 11.72645858 0.57522919 0.31966572 0.89489491
 104 0.0520 90.92293700 1.29752100 0.62212697 1.15172708 0.63988266 0.38390903 22.44109137 7.45647449 13.63928462 0.62399361 0.27102365 0.89501726
 105 0.0525 75.03022042 1.29628038 0.62267954 1.15015713 0.63965331 0.38338571 23.87113683 7.10311865 15.39292296 0.67148887 0.22365054 0.89513941
 106 0.0530 60.21517052 1.29524745 0.62329392 1.14872110 0.63951379 0.38290703 25.11787710 6.76702569 16.97023863 0.71576681 0.17948975 0.89525656
 107 0.0535 47.10315571 1.29443305 0.62396716 1.14743272 0.63946674 0.38247757 26.16944283 6.45016771 18.35594089 0.75495874 0.14040538 0.89536412
